"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
2.936533542E0,-1.162603021E0,2.289390802E0,-4.149175167E0
2.946534542E0,-1.281248450E0,1.919248223E0,-4.164289951E0
2.956535542E0,-1.262173772E0,1.269319296E0,-4.130502224E0
2.966537542E0,-1.128855109E0,5.784073472E-1,-4.074494362E0
2.976538542E0,-1.042941332E0,-1.111527011E-1,-3.973301649E0
2.986539542E0,-1.005455613E0,-7.398576140E-1,-3.849929094E0
2.996540542E0,-9.533427954E-1,-1.355742693E0,-3.675960541E0
3.006541542E0,-8.305568695E-1,-2.050635099E0,-3.487878799E0
3.016542542E0,-6.802222729E-1,-2.727514982E0,-3.291835546E0
3.026544542E0,-5.338985324E-1,-3.288673878E0,-3.085192919E0
3.036545542E0,-4.215799868E-1,-3.682640553E0,-2.830339432E0
3.046546542E0,-3.714590967E-1,-3.915650606E0,-2.538717985E0
3.056547542E0,-3.829858005E-1,-3.996942282E0,-2.231936216E0
3.066548542E0,-4.732987583E-1,-3.860179424E0,-1.939335942E0
3.076549542E0,-6.080467105E-1,-3.442278862E0,-1.702396631E0
3.086550542E0,-7.739529014E-1,-2.766893387E0,-1.566356182E0
3.096553125E0,-9.390504956E-1,-1.919664383E0,-1.552565575E0
3.106554125E0,-1.058402061E0,-1.060853481E0,-1.603036404E0
3.116555125E0,-1.168740511E0,-3.345617652E-1,-1.601110339E0
3.126556125E0,-1.235015154E0,2.240808308E-1,-1.541167378E0
3.136557125E0,-1.226482153E0,6.633955836E-1,-1.457246900E0
3.146558125E0,-1.162382960E0,9.581724405E-1,-1.365192533E0
3.156560125E0,-1.052110314E0,9.867404103E-1,-1.274008512E0
3.166561125E0,-9.251071215E-1,6.740623713E-1,-1.180990338E0
3.176562125E0,-8.230888844E-1,8.040382713E-2,-1.065484166E0
3.186563125E0,-7.468066216E-1,-6.792228818E-1,-9.181604981E-1
3.196564125E0,-6.935545802E-1,-1.428934216E0,-7.542607784E-1
3.206565125E0,-6.660690308E-1,-2.029822588E0,-5.817173123E-1
3.216567125E0,-6.718392968E-1,-2.459156513E0,-3.937239647E-1
3.226568125E0,-7.140522599E-1,-2.742787361E0,-1.987657696E-1
3.236569125E0,-7.804501653E-1,-2.900214672E0,-2.009215765E-2
3.246570125E0,-8.648129702E-1,-2.932131767E0,1.164764538E-1
3.256571125E0,-9.553791285E-1,-2.858742237E0,2.085001171E-1
3.266572125E0,-9.934092164E-1,-2.702949762E0,2.646315992E-1
3.276573125E0,-9.633855224E-1,-2.484035730E0,3.120776713E-1
3.286575125E0,-8.539157510E-1,-2.228320122E0,3.445072472E-1
3.296576125E0,-6.523663998E-1,-1.962525368E0,3.607458770E-1
3.306577125E0,-3.646546602E-1,-1.672168374E0,3.499546051E-1
3.316578125E0,-5.478120223E-2,-1.380059123E0,3.185716271E-1
3.326579125E0,2.172927707E-1,-1.083120584E0,2.972512841E-1
3.336580125E0,4.285688102E-1,-7.126345038E-1,3.101255298E-1
3.346582125E0,5.632862449E-1,-2.270789295E-1,3.818182349E-1
3.356583125E0,6.227607131E-1,3.583983779E-1,5.139960051E-1
3.366584125E0,6.461260915E-1,9.336230755E-1,6.445603967E-1
3.376585125E0,6.800768375E-1,1.377643943E0,7.188625932E-1
3.386586125E0,7.385380268E-1,1.659385085E0,7.417106032E-1
3.396587125E0,8.218664527E-1,1.797194123E0,7.500830293E-1
3.406589125E0,9.049541950E-1,1.843638062E0,7.728315592E-1
3.416590125E0,9.674660563E-1,1.841567993E0,8.300668597E-1
3.426591125E0,1.000417352E0,1.808603764E0,9.137789607E-1
3.436592125E0,1.005561829E0,1.748762846E0,1.011647701E0
3.446593125E0,9.845634699E-1,1.658841491E0,1.116833925E0
3.456594125E0,9.234620333E-1,1.527055740E0,1.213935971E0
3.466595125E0,8.279547095E-1,1.346930861E0,1.283667088E0
3.476597125E0,7.094855905E-1,1.147732973E0,1.332691550E0
3.486598125E0,5.842146873E-1,9.706141949E-1,1.360251784E0
3.496599125E0,4.748591483E-1,8.401925564E-1,1.380715489E0
3.506600125E0,3.914951384E-1,7.355023026E-1,1.406895638E0
3.516601125E0,3.248239756E-1,6.307759285E-1,1.427991390E0
3.526602125E0,2.625490129E-1,4.974685013E-1,1.418279409E0
3.536604125E0,2.040263116E-1,3.197568059E-1,1.391274691E0
3.546605125E0,1.289459765E-1,1.029509082E-1,1.354400396E0
3.556606125E0,7.244568318E-2,-1.415778697E-1,1.307492018E0
3.566607125E0,6.847653538E-2,-4.433754683E-1,1.259238482E0
3.576608125E0,6.238535419E-2,-8.061062098E-1,1.260350347E0
3.586609125E0,-6.936122663E-3,-1.183368564E0,1.313407540E0
3.596611125E0,-1.262111217E-1,-1.543247938E0,1.407455683E0
3.606612125E0,-2.688487768E-1,-1.851957202E0,1.498024940E0
