"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.128484583E0,-5.508095856E0,5.400020599E0,-4.966222687E0,9.174023665E0
2.138485583E0,-5.437293091E0,5.229674835E0,-5.162314911E0,9.141288218E0
2.148486583E0,-5.337001648E0,5.045857086E0,-5.332660675E0,9.076427172E0
2.158487583E0,-5.195845184E0,4.824317780E0,-5.514831848E0,8.982439509E0
2.168488583E0,-5.130131836E0,4.624483337E0,-5.700595551E0,8.955494873E0
2.178489583E0,-4.985233154E0,4.420607300E0,-5.846991119E0,8.864627666E0
2.188490583E0,-4.724325714E0,4.167932739E0,-6.071075134E0,8.749221112E0
2.198491583E0,-4.349804535E0,3.841012573E0,-6.271208954E0,8.544134762E0
2.208492583E0,-3.870501251E0,3.443289642E0,-6.308930511E0,8.163309849E0
2.218493583E0,-3.550766144E0,3.097808075E0,-6.242319031E0,7.821182900E0
2.228494583E0,-3.727847900E0,2.898722076E0,-6.030958557E0,7.659758532E0
2.238495583E0,-4.421655121E0,2.823877716E0,-5.699996796E0,7.746953132E0
2.248496583E0,-5.452261963E0,2.897823944E0,-5.358257446E0,8.175296140E0
2.258497583E0,-6.473737793E0,3.231180725E0,-5.317691803E0,8.979290395E0
2.268498583E0,-7.209757233E0,3.717519379E0,-5.521118774E0,9.812405526E0
2.278500583E0,-7.436835022E0,4.290827179E0,-5.575605469E0,1.023743568E1
2.288501583E0,-7.432793427E0,4.742288361E0,-5.601501617E0,1.044569468E1
2.298502583E0,-7.566016388E0,4.986580353E0,-5.564079437E0,1.063341749E1
2.308503583E0,-7.947872314E0,4.974006500E0,-5.497018890E0,1.086860762E1
2.318504583E0,-8.475824432E0,4.600982208E0,-5.695057068E0,1.120010322E1
2.328505583E0,-8.953032074E0,3.882626038E0,-6.065686340E0,1.149017489E1
2.338506583E0,-9.451794891E0,3.074456635E0,-6.415359192E0,1.182985815E1
2.348507583E0,-1.001163071E1,2.364333344E0,-6.396199036E0,1.211338861E1
2.358508583E0,-1.029259644E1,1.865420837E0,-5.974376221E0,1.204618228E1
2.368509583E0,-1.010773087E1,1.451082458E0,-5.762416992E0,1.172507199E1
2.378510583E0,-9.580676880E0,1.550326080E0,-5.943240967E0,1.138046544E1
2.388511583E0,-8.833730164E0,1.776655426E0,-6.040538635E0,1.084801365E1
2.398512583E0,-8.155789948E0,1.923649750E0,-6.407725067E0,1.054875720E1
2.408513583E0,-7.773335266E0,1.689087524E0,-6.180647278E0,1.007363681E1
2.418514583E0,-7.357949066E0,1.091230774E0,-7.101681976E0,1.028416676E1
2.428515583E0,-7.057523804E0,7.451504517E-1,-7.327262878E0,1.020062119E1
2.438516583E0,-6.739734650E0,1.302291870E-1,-6.951095123E0,9.682907941E0
2.448517583E0,-6.087840271E0,-6.896159363E-1,-6.867718506E0,9.203419298E0
2.458518583E0,-5.220843201E0,-1.430724792E0,-6.796167297E0,8.688617099E0
2.468519667E0,-4.756209412E0,-2.073937225E0,-6.622678070E0,8.413240066E0
2.478520667E0,-5.118905182E0,-2.663112030E0,-6.296356659E0,8.540460358E0
2.488521667E0,-6.185886383E0,-3.048859863E0,-6.330335999E0,9.361297488E0
2.498522667E0,-7.133415985E0,-3.078647919E0,-6.940317535E0,1.041785506E1
2.508523667E0,-7.262597351E0,-2.705923004E0,-7.745493164E0,1.095718960E1
2.518525667E0,-7.016509094E0,-1.953138428E0,-8.175698547E0,1.094934684E1
2.528526667E0,-7.121590576E0,-1.337468719E0,-8.131091309E0,1.089130482E1
2.538527667E0,-7.593110046E0,-1.063089294E0,-8.062683563E0,1.112620085E1
2.548528667E0,-8.264613647E0,-7.104226685E-1,-8.203091583E0,1.166615835E1
2.558529667E0,-9.060658264E0,-2.998265076E-1,-8.169112244E0,1.220327083E1
2.568530667E0,-9.799521790E0,-2.570155334E-1,-7.897277527E0,1.258823564E1
2.578531667E0,-1.038705002E1,-4.113446045E-1,-7.585475922E0,1.286854527E1
2.588532667E0,-1.053389465E1,-5.914201355E-1,-7.626191254E0,1.301812227E1
2.598533667E0,-9.901609497E0,-8.677455139E-1,-7.691006470E0,1.256767415E1
2.608534667E0,-8.960067444E0,-1.266665955E0,-7.332651672E0,1.164710401E1
2.618535667E0,-8.330925751E0,-1.806144104E0,-6.833739166E0,1.092549639E1
2.628536667E0,-8.192313995E0,-2.276915131E0,-6.291566620E0,1.057743644E1
2.638537667E0,-8.468190308E0,-2.571951599E0,-5.735622711E0,1.054621022E1
2.648538667E0,-8.890761566E0,-2.781366119E0,-5.238805847E0,1.068769037E1
2.658539667E0,-9.267378387E0,-2.951711884E0,-5.244793396E0,1.105010240E1
2.668540667E0,-9.210945740E0,-2.977458344E0,-5.654491425E0,1.121071152E1
2.678541667E0,-8.292156372E0,-2.963986359E0,-5.886059875E0,1.059201460E1
2.688542667E0,-6.897656250E0,-3.071612549E0,-5.945186920E0,9.610292030E0
2.698543667E0,-5.815406799E0,-3.171604614E0,-5.811514893E0,8.812022323E0
2.708544667E0,-5.529201965E0,-3.225043488E0,-5.493875427E0,8.435380672E0
2.718545667E0,-6.169420624E0,-3.241808624E0,-4.978197784E0,8.564667371E0
2.728546667E0,-7.389683075E0,-3.445534973E0,-4.441863098E0,9.284894990E0
2.738548667E0,-8.747958527E0,-3.960613861E0,-4.193529510E0,1.047849848E1
2.748549667E0,-9.801168365E0,-4.423002319E0,-4.282444611E0,1.157433293E1
2.758550667E0,-9.466165009E0,-4.752467194E0,-4.560715942E0,1.153231782E1
2.768551667E0,-7.794591064E0,-4.644691315E0,-4.910688171E0,1.031715395E1
2.778552667E0,-6.403683472E0,-4.259392548E0,-4.927453308E0,9.133968633E0
2.788553667E0,-6.147416382E0,-3.947740631E0,-4.692591705E0,8.683075560E0
2.798554667E0,-7.291786652E0,-3.776945801E0,-4.538112946E0,9.382427259E0
2.808555667E0,-9.072932739E0,-3.919599152E0,-3.805686035E0,1.059077958E1
2.818556667E0,-1.058628571E1,-4.434378662E0,-3.417543182E0,1.197550669E1
2.828557667E0,-1.163141235E1,-4.946763153E0,-3.576362915E0,1.313585135E1
2.838558667E0,-1.152947433E1,-5.236859894E0,-3.674109650E0,1.318531614E1
2.848559667E0,-1.010114456E1,-5.302273865E0,-3.645219727E0,1.197642920E1
2.858560667E0,-8.211474152E0,-5.226381683E0,-3.567830658E0,1.036690836E1
2.868561667E0,-6.709048462E0,-5.079686737E0,-3.548670502E0,9.132776738E0
2.878562667E0,-6.140381012E0,-4.801265717E0,-3.547772369E0,8.564059799E0
2.888563667E0,-6.583010559E0,-4.436474304E0,-3.604953461E0,8.718602051E0
2.898564667E0,-7.652985535E0,-4.354594574E0,-3.457809448E0,9.459763616E0
2.908565667E0,-8.706644440E0,-4.727768555E0,-3.228186951E0,1.042010767E1
2.918566667E0,-9.476044464E0,-5.435047760E0,-3.078498230E0,1.134955128E1
2.928567667E0,-9.769134979E0,-6.078709259E0,-3.294049988E0,1.196818574E1
2.938568667E0,-8.864566040E0,-6.145021362E0,-3.608995056E0,1.137394672E1
2.948569667E0,-7.279961243E0,-5.685776367E0,-3.941453705E0,1.004295504E1
2.958571667E0,-6.264772339E0,-5.036576385E0,-3.998335419E0,8.977814894E0
2.968572667E0,-6.127956848E0,-4.436324615E0,-3.806584167E0,8.468938201E0
2.978573667E0,-6.749314728E0,-4.252506866E0,-3.567680969E0,8.738730540E0
2.988574667E0,-7.711813202E0,-4.690046997E0,-3.364703064E0,9.632747812E0
2.998575667E0,-8.656648407E0,-5.647905121E0,-3.104095001E0,1.079221014E1
3.008576667E0,-9.468260651E0,-6.550378418E0,-2.980452118E0,1.189279244E1
3.018577667E0,-9.627379761E0,-7.165599060E0,-2.807861023E0,1.232543445E1
3.028578667E0,-8.610843658E0,-7.323520660E0,-2.697390747E0,1.162138117E1
3.038579667E0,-7.202871552E0,-6.707252197E0,-2.721490631E0,1.021151810E1
3.048580667E0,-6.500681763E0,-5.833668823E0,-2.573897552E0,9.105795074E0
3.058581667E0,-6.574777679E0,-4.848417664E0,-2.456990662E0,8.530630603E0
3.068582667E0,-6.904242554E0,-4.315076752E0,-2.469564514E0,8.508066849E0
3.078583667E0,-7.423213348E0,-4.757556610E0,-2.379601593E0,9.132411787E0
3.088584667E0,-8.194110260E0,-5.924529877E0,-2.131268005E0,1.033372152E1
3.098585667E0,-8.877738647E0,-6.817572784E0,-2.058519287E0,1.138117058E1
3.108586667E0,-9.241182861E0,-7.343279572E0,-2.089804230E0,1.198709712E1
3.118587667E0,-8.991202698E0,-7.265142059E0,-2.067500610E0,1.174302235E1
3.128588667E0,-8.206983490E0,-6.635850677E0,-1.945504303E0,1.073191871E1
3.138589667E0,-7.588619385E0,-5.901926880E0,-1.919159088E0,9.803216649E0
3.148590667E0,-7.388186188E0,-5.383405151E0,-2.170636139E0,9.395637680E0
3.158591667E0,-7.433841248E0,-4.896767120E0,-2.508034515E0,9.248273409E0
3.168592667E0,-7.411687317E0,-4.903203735E0,-2.732268219E0,9.297300973E0
3.178594667E0,-7.215146027E0,-5.117258606E0,-2.888692932E0,9.305332594E0
