"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
3.817886125E0,7.729027405E0,7.005282440E0,2.326911163E0
3.827887125E0,8.114026794E0,6.900799713E0,1.659000092E0
3.837888125E0,8.500074005E0,6.984176331E0,1.073717194E0
3.847889125E0,8.688382416E0,7.119494934E0,8.424481201E-1
3.857890125E0,8.678203583E0,7.104226685E0,8.961863708E-1
3.867891125E0,8.660839691E0,6.920259247E0,9.208850098E-1
3.877893125E0,8.714577942E0,6.839277649E0,6.873706055E-1
3.887894125E0,9.023086395E0,7.086563416E0,3.430865479E-1
3.897895125E0,9.660311279E0,7.545808411E0,1.926493835E-1
3.907896125E0,1.040800644E1,8.035140839E0,2.377056885E-1
3.917897125E0,1.112112350E1,7.966134338E0,4.415817261E-1
3.927898125E0,1.146989822E1,7.076534271E0,1.616488495E0
3.937900125E0,1.074435699E1,6.428232422E0,2.819985809E0
3.947901125E0,9.118138733E0,6.856042786E0,3.255729675E0
3.957902125E0,8.283324738E0,6.950196991E0,2.407443695E0
3.967903125E0,8.059091034E0,6.238876190E0,1.830992432E0
3.977904125E0,7.788453827E0,4.809498596E0,1.274150391E0
3.987905125E0,6.876101074E0,3.542682953E0,1.337618408E0
3.997907125E0,5.590424652E0,3.019221497E0,1.704954529E0
4.007908125E0,4.403842163E0,2.936743011E0,1.970951385E0
4.017909125E0,3.621718597E0,2.988535309E0,1.952090607E0
4.027910125E0,3.353326721E0,3.000959473E0,1.784289551E0
4.037911125E0,3.398233337E0,2.943179626E0,1.485061798E0
4.047912125E0,3.532504120E0,3.218906250E0,1.266965332E0
4.057914125E0,3.778592377E0,4.080963593E0,1.463207245E0
4.067915125E0,4.176315308E0,5.344336395E0,2.143243103E0
4.077916125E0,4.903952179E0,6.833140411E0,3.157084808E0
4.087917125E0,5.913153534E0,8.106392670E0,4.115092621E0
4.097918250E0,6.821165314E0,8.594377899E0,4.790787506E0
4.107919250E0,7.179071045E0,8.129295044E0,5.136119385E0
4.117921250E0,6.864425354E0,7.040159912E0,5.074597321E0
4.127922250E0,6.106251984E0,5.844745789E0,4.547543335E0
